sample1	sample2	fract_vit_sites_IBD
Col_11	Col_13	0.04
Col_11	Col_6	0.04
Col_11	Col_8	0.09
Col_11	SRR1562518	0.04
Col_11	SRR1562524	0.03
Col_11	SRR1562555	0.03
Col_11	SRR1562818	0.06
Col_11	SRR1562870	0.05
Col_11	SRR1562965	0.07
Col_11	SRR1562967	0.02
Col_11	SRR1562971	0.03
Col_11	SRR1562975	0.04
Col_11	SRR1564660	0.04
Col_11	SRR1564665	0.08
Col_11	SRR1564670	0.03
Col_11	SRR1568112	0.03
Col_11	SRR1568118	0.05
Col_11	SRR1568128	0.03
Col_11	SRR1568155	0.05
Col_11	SRR1568160	0.05
Col_11	SRR1568169	0.05
Col_11	SRR1568171	0.06
Col_11	SRR1568207	0.03
Col_11	SRR1568213	0.05
Col_11	SRR1568221	0.04
Col_11	SRR1568227	0.05
Col_11	SRR1568230	0.05
Col_11	SRR1568235	0.03
Col_11	SRR1568236	0.01
Col_11	SRR1573226	0.05
Col_11	ERR2299557	0.04
Col_11	ERR2299558	0.04
Col_11	ERR2299582	0.04
Col_11	ERR2299586	0.01
Col_11	ERR2299596	0.07
Col_11	ERR2299666	0.03
Col_11	ERR2299667	0.04
Col_11	ERR2299668	0.04
Col_11	ERR2299669	0.03
Col_11	ERR2299670	0.05
Col_11	ERR2299699	0.04
Col_11	ERR2299672	0.04
Col_11	ERR2299673	0.04
Col_11	ERR2299674	0.04
Col_11	ERR2299675	0.05
Col_11	ERR2299704	0.04
Col_11	ERR2299679	0.06
Col_11	ERR2299680	0.09
Col_11	ERR2299681	0.04
Col_11	ERR2299682	0.04
Col_11	ERR2299683	0.04
Col_11	ERR2299684	0.06
Col_11	ERR2299685	0.01
Col_13	Col_6	1.00
Col_13	Col_8	0.04
Col_13	SRR1562518	0.10
Col_13	SRR1562524	0.04
Col_13	SRR1562555	0.03
Col_13	SRR1562818	0.06
Col_13	SRR1562870	0.07
Col_13	SRR1562965	0.04
Col_13	SRR1562967	0.00
Col_13	SRR1562971	0.03
Col_13	SRR1562975	0.03
Col_13	SRR1564660	0.02
Col_13	SRR1564665	0.05
Col_13	SRR1564670	0.03
Col_13	SRR1568112	0.02
Col_13	SRR1568118	0.05
Col_13	SRR1568128	0.04
Col_13	SRR1568155	0.05
Col_13	SRR1568160	0.08
Col_13	SRR1568169	0.08
Col_13	SRR1568171	0.05
Col_13	SRR1568207	0.03
Col_13	SRR1568213	0.04
Col_13	SRR1568221	0.02
Col_13	SRR1568227	0.05
Col_13	SRR1568230	0.03
Col_13	SRR1568235	0.03
Col_13	SRR1568236	0.01
Col_13	SRR1573226	0.03
Col_13	ERR2299557	0.03
Col_13	ERR2299558	0.03
Col_13	ERR2299582	0.03
Col_13	ERR2299586	0.04
Col_13	ERR2299596	0.06
Col_13	ERR2299666	0.01
Col_13	ERR2299667	0.02
Col_13	ERR2299668	0.02
Col_13	ERR2299669	0.01
Col_13	ERR2299670	0.03
Col_13	ERR2299699	0.02
Col_13	ERR2299672	0.02
Col_13	ERR2299673	0.02
Col_13	ERR2299674	0.02
Col_13	ERR2299675	0.03
Col_13	ERR2299704	0.02
Col_13	ERR2299679	0.07
Col_13	ERR2299680	0.07
Col_13	ERR2299681	0.02
Col_13	ERR2299682	0.02
Col_13	ERR2299683	0.02
Col_13	ERR2299684	0.07
Col_13	ERR2299685	0.00
Col_6	Col_8	0.03
Col_6	SRR1562518	0.10
Col_6	SRR1562524	0.03
Col_6	SRR1562555	0.03
Col_6	SRR1562818	0.05
Col_6	SRR1562870	0.06
Col_6	SRR1562965	0.03
Col_6	SRR1562967	0.00
Col_6	SRR1562971	0.02
Col_6	SRR1562975	0.02
Col_6	SRR1564660	0.02
Col_6	SRR1564665	0.04
Col_6	SRR1564670	0.02
Col_6	SRR1568112	0.02
Col_6	SRR1568118	0.04
Col_6	SRR1568128	0.03
Col_6	SRR1568155	0.04
Col_6	SRR1568160	0.07
Col_6	SRR1568169	0.08
Col_6	SRR1568171	0.05
Col_6	SRR1568207	0.02
Col_6	SRR1568213	0.03
Col_6	SRR1568221	0.02
Col_6	SRR1568227	0.04
Col_6	SRR1568230	0.02
Col_6	SRR1568235	0.02
Col_6	SRR1568236	0.00
Col_6	SRR1573226	0.02
Col_6	ERR2299557	0.03
Col_6	ERR2299558	0.03
Col_6	ERR2299582	0.02
Col_6	ERR2299586	0.03
Col_6	ERR2299596	0.05
Col_6	ERR2299666	0.01
Col_6	ERR2299667	0.02
Col_6	ERR2299668	0.02
Col_6	ERR2299669	0.01
Col_6	ERR2299670	0.02
Col_6	ERR2299699	0.02
Col_6	ERR2299672	0.02
Col_6	ERR2299673	0.02
Col_6	ERR2299674	0.02
Col_6	ERR2299675	0.02
Col_6	ERR2299704	0.02
Col_6	ERR2299679	0.06
Col_6	ERR2299680	0.07
Col_6	ERR2299681	0.02
Col_6	ERR2299682	0.02
Col_6	ERR2299683	0.02
Col_6	ERR2299684	0.06
Col_6	ERR2299685	0.01
Col_8	SRR1562518	0.04
Col_8	SRR1562524	0.05
Col_8	SRR1562555	0.03
Col_8	SRR1562818	0.07
Col_8	SRR1562870	0.06
Col_8	SRR1562965	0.07
Col_8	SRR1562967	0.01
Col_8	SRR1562971	0.03
Col_8	SRR1562975	0.06
Col_8	SRR1564660	0.03
Col_8	SRR1564665	0.08
Col_8	SRR1564670	0.03
Col_8	SRR1568112	0.03
Col_8	SRR1568118	0.05
Col_8	SRR1568128	0.03
Col_8	SRR1568155	0.04
Col_8	SRR1568160	0.07
Col_8	SRR1568169	0.04
Col_8	SRR1568171	0.20
Col_8	SRR1568207	0.03
Col_8	SRR1568213	0.03
Col_8	SRR1568221	0.03
Col_8	SRR1568227	0.04
Col_8	SRR1568230	0.05
Col_8	SRR1568235	0.05
Col_8	SRR1568236	0.01
Col_8	SRR1573226	0.05
Col_8	ERR2299557	0.02
Col_8	ERR2299558	0.02
Col_8	ERR2299582	0.03
Col_8	ERR2299586	0.03
Col_8	ERR2299596	0.06
Col_8	ERR2299666	0.01
Col_8	ERR2299667	0.02
Col_8	ERR2299668	0.03
Col_8	ERR2299669	0.03
Col_8	ERR2299670	0.05
Col_8	ERR2299699	0.03
Col_8	ERR2299672	0.02
Col_8	ERR2299673	0.02
Col_8	ERR2299674	0.02
Col_8	ERR2299675	0.05
Col_8	ERR2299704	0.03
Col_8	ERR2299679	0.06
Col_8	ERR2299680	0.10
Col_8	ERR2299681	0.02
Col_8	ERR2299682	0.03
Col_8	ERR2299683	0.03
Col_8	ERR2299684	0.06
Col_8	ERR2299685	0.02
SRR1562518	SRR1562524	0.05
SRR1562518	SRR1562555	0.06
SRR1562518	SRR1562818	0.05
